review_id,classification,file,source_location,canonical_field,original_value,prior_normalized_value,domain_destination,current_domain_value,reason,source_sufficient,deterministic_auto_resolution,genuine_user_need,current_disposition
38,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""Lookahead"", ""row"": 22, ""cells"": {""lookahead.day"": ""R22C1"", ""lookahead.activity"": ""R22C2"", ""lookahead.hours"": ""R22C10"", ""lookahead.date_start"": ""R22C12"", ""lookahead.date_end"": ""R22C13"", ""lookahead.remarks"": ""R22C14""}, ""table"": ""lookahead"", ""cell"": ""R22C1; R22C2; R22C10; R22C12; R22C13; R22C14""}",activity,"{""day"": ""2024-10-27"", ""hours"": 24.0, ""date_start"": ""2024-10-27"", ""date_end"": ""2024-10-28"", ""_source_row"": 22, ""_source_cells"": {""lookahead.day"": ""R22C1"", ""lookahead.activity"": ""R22C2"", ""lookahead.hours"": ""R22C10"", ""lookahead.date_start"": ""R22C12"", ""lookahead.date_end"": ""R22C13"", ""lookahead.remarks"": ""R22C14""}, ""_source_sheet"": ""Lookahead"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""Lookahead"", ""row"": 22, ""cells"": {""lookahead.day"": ""R22C1"", ""lookahead.activity"": ""R22C2"", ""lookahead.hours"": ""R22C10"", ""lookahead.date_start"": ""R22C12"", ""lookahead.date_end"": ""R22C13"", ""lookahead.remarks"": ""R22C14""}, ""table"": ""lookahead""}}",null,AuditLog lookahead review; missing-activity row not persisted,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
39,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 58, ""cells"": {""survey.md"": ""R58C10"", ""survey.inc"": ""R58C11"", ""survey.azi"": ""R58C12"", ""survey.tvd"": ""R58C13"", ""survey.north"": ""R58C14"", ""survey.east"": ""R58C15"", ""survey.vs_hd"": ""R58C17"", ""survey.dls"": ""R58C19"", ""survey.tool"": ""R58C20""}, ""table"": ""surveys"", ""cell"": ""row 58, column""}",survey.azi,"{""md"": 50.0, ""inc"": 0.0, ""_source_row"": 58, ""_source_cells"": {""survey.md"": ""R58C10"", ""survey.inc"": ""R58C11"", ""survey.azi"": ""R58C12"", ""survey.tvd"": ""R58C13"", ""survey.north"": ""R58C14"", ""survey.east"": ""R58C15"", ""survey.vs_hd"": ""R58C17"", ""survey.dls"": ""R58C19"", ""survey.tool"": ""R58C20""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 58, ""cells"": {""survey.md"": ""R58C10"", ""survey.inc"": ""R58C11"", ""survey.azi"": ""R58C12"", ""survey.tvd"": ""R58C13"", ""survey.north"": ""R58C14"", ""survey.east"": ""R58C15"", ""survey.vs_hd"": ""R58C17"", ""survey.dls"": ""R58C19"", ""survey.tool"": ""R58C20""}, ""table"": ""surveys""}, ""well_id"": 2, ""report_id"": 1, ""section_id"": 1}",null,SurveyPoint.azi and derived fields,"{""md"": 50.0, ""inc"": 0.0, ""azi"": null, ""tvd"": null, ""north"": null, ""east"": null, ""dls"": null}",Azimuth is absent; retain MD/inclination and NULL azimuth; no complete trajectory station can be calculated.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
40,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 59, ""cells"": {""survey.md"": ""R59C10"", ""survey.inc"": ""R59C11"", ""survey.azi"": ""R59C12"", ""survey.tvd"": ""R59C13"", ""survey.north"": ""R59C14"", ""survey.east"": ""R59C15"", ""survey.vs_hd"": ""R59C17"", ""survey.dls"": ""R59C19"", ""survey.tool"": ""R59C20""}, ""table"": ""surveys"", ""cell"": ""row 59, column""}",survey.azi,"{""md"": 108.0, ""inc"": 0.25, ""_source_row"": 59, ""_source_cells"": {""survey.md"": ""R59C10"", ""survey.inc"": ""R59C11"", ""survey.azi"": ""R59C12"", ""survey.tvd"": ""R59C13"", ""survey.north"": ""R59C14"", ""survey.east"": ""R59C15"", ""survey.vs_hd"": ""R59C17"", ""survey.dls"": ""R59C19"", ""survey.tool"": ""R59C20""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 59, ""cells"": {""survey.md"": ""R59C10"", ""survey.inc"": ""R59C11"", ""survey.azi"": ""R59C12"", ""survey.tvd"": ""R59C13"", ""survey.north"": ""R59C14"", ""survey.east"": ""R59C15"", ""survey.vs_hd"": ""R59C17"", ""survey.dls"": ""R59C19"", ""survey.tool"": ""R59C20""}, ""table"": ""surveys""}, ""well_id"": 2, ""report_id"": 1, ""section_id"": 1}",null,SurveyPoint.azi and derived fields,"{""md"": 108.0, ""inc"": 0.25, ""azi"": null, ""tvd"": null, ""north"": null, ""east"": null, ""dls"": null}",Azimuth is absent; retain MD/inclination and NULL azimuth; no complete trajectory station can be calculated.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
41,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 60, ""cells"": {""survey.md"": ""R60C10"", ""survey.inc"": ""R60C11"", ""survey.azi"": ""R60C12"", ""survey.tvd"": ""R60C13"", ""survey.north"": ""R60C14"", ""survey.east"": ""R60C15"", ""survey.vs_hd"": ""R60C17"", ""survey.dls"": ""R60C19"", ""survey.tool"": ""R60C20""}, ""table"": ""surveys"", ""cell"": ""row 60, column""}",survey.azi,"{""md"": 146.0, ""inc"": 0.25, ""_source_row"": 60, ""_source_cells"": {""survey.md"": ""R60C10"", ""survey.inc"": ""R60C11"", ""survey.azi"": ""R60C12"", ""survey.tvd"": ""R60C13"", ""survey.north"": ""R60C14"", ""survey.east"": ""R60C15"", ""survey.vs_hd"": ""R60C17"", ""survey.dls"": ""R60C19"", ""survey.tool"": ""R60C20""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 60, ""cells"": {""survey.md"": ""R60C10"", ""survey.inc"": ""R60C11"", ""survey.azi"": ""R60C12"", ""survey.tvd"": ""R60C13"", ""survey.north"": ""R60C14"", ""survey.east"": ""R60C15"", ""survey.vs_hd"": ""R60C17"", ""survey.dls"": ""R60C19"", ""survey.tool"": ""R60C20""}, ""table"": ""surveys""}, ""well_id"": 2, ""report_id"": 1, ""section_id"": 1}",null,SurveyPoint.azi and derived fields,"{""md"": 146.0, ""inc"": 0.25, ""azi"": null, ""tvd"": null, ""north"": null, ""east"": null, ""dls"": null}",Azimuth is absent; retain MD/inclination and NULL azimuth; no complete trajectory station can be calculated.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
42,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 10, ""cells"": {""mud_chemical.product_type"": ""R10C14"", ""mud_chemical.used"": ""R10C16"", ""mud_chemical.received"": ""R10C17"", ""mud_chemical.on_hand"": ""R10C19"", ""mud_chemical.unit"": ""R10C20""}, ""table"": ""bulk_materials"", ""cell"": ""R10C14; R10C16; R10C17; R10C19; R10C20""}",mud_chemical.type,"""Limestone""",null,MudReport.chemicals_json[].type,"{""imported"": ""Limestone"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""1MT/BB""}","Limestone may be weighting, bridging or a sized loss-control material; role/grade is not supplied.",No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
43,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 11, ""cells"": {""mud_chemical.product_type"": ""R11C14"", ""mud_chemical.used"": ""R11C16"", ""mud_chemical.received"": ""R11C17"", ""mud_chemical.on_hand"": ""R11C19"", ""mud_chemical.unit"": ""R11C20""}, ""table"": ""bulk_materials"", ""cell"": ""R11C14; R11C16; R11C17; R11C19; R11C20""}",mud_chemical.type,"""Salt""",null,MudReport.chemicals_json[].type,"{""imported"": ""Salt"", ""type"": null, ""source_stock"": 81.0, ""imported_stock"": 81.0, ""unit"": ""1 MT/BB""}",Salt inventory alone does not establish fluid formulation or a Shale Inhibitor catalogue identity.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
44,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 17, ""cells"": {""mud_chemical.product_type"": ""R17C14"", ""mud_chemical.used"": ""R17C16"", ""mud_chemical.received"": ""R17C17"", ""mud_chemical.on_hand"": ""R17C19"", ""mud_chemical.unit"": ""R17C20""}, ""table"": ""bulk_materials"", ""cell"": ""R17C14; R17C16; R17C17; R17C19; R17C20""}",mud_chemical.type,"""Nut Plug (C)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Nut Plug (C)"", ""type"": null, ""source_stock"": 40.0, ""imported_stock"": 40.0, ""unit"": ""25 KG/SX""}",Coarse Nut Plug is a loss-control product; existing six-role catalogue has no loss-control category.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
45,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 18, ""cells"": {""mud_chemical.product_type"": ""R18C14"", ""mud_chemical.used"": ""R18C16"", ""mud_chemical.received"": ""R18C17"", ""mud_chemical.on_hand"": ""R18C19"", ""mud_chemical.unit"": ""R18C20""}, ""table"": ""bulk_materials"", ""cell"": ""R18C14; R18C16; R18C17; R18C19; R18C20""}",mud_chemical.type,"""Nut Plug (M)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Nut Plug (M)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}",Medium Nut Plug is a loss-control product; existing catalogue has no loss-control category.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
46,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 19, ""cells"": {""mud_chemical.product_type"": ""R19C14"", ""mud_chemical.used"": ""R19C16"", ""mud_chemical.received"": ""R19C17"", ""mud_chemical.on_hand"": ""R19C19"", ""mud_chemical.unit"": ""R19C20""}, ""table"": ""bulk_materials"", ""cell"": ""R19C14; R19C16; R19C17; R19C19; R19C20""}",mud_chemical.type,"""Nut Plug (F)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Nut Plug (F)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}",Fine Nut Plug is a loss-control product; existing catalogue has no loss-control category.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
47,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 20, ""cells"": {""mud_chemical.product_type"": ""R20C14"", ""mud_chemical.used"": ""R20C16"", ""mud_chemical.received"": ""R20C17"", ""mud_chemical.on_hand"": ""R20C19"", ""mud_chemical.unit"": ""R20C20""}, ""table"": ""bulk_materials"", ""cell"": ""R20C14; R20C16; R20C17; R20C19; R20C20""}",mud_chemical.type,"""Oyster Shell (C)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Oyster Shell (C)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}","Coarse oyster shell is a sized bridging/loss-control material, unsupported by current catalogue.",Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
48,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 21, ""cells"": {""mud_chemical.product_type"": ""R21C14"", ""mud_chemical.used"": ""R21C16"", ""mud_chemical.received"": ""R21C17"", ""mud_chemical.on_hand"": ""R21C19"", ""mud_chemical.unit"": ""R21C20""}, ""table"": ""bulk_materials"", ""cell"": ""R21C14; R21C16; R21C17; R21C19; R21C20""}",mud_chemical.type,"""Oyster Shell (M)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Oyster Shell (M)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}","Medium oyster shell is a sized bridging/loss-control material, unsupported by current catalogue.",Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
49,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 22, ""cells"": {""mud_chemical.product_type"": ""R22C14"", ""mud_chemical.used"": ""R22C16"", ""mud_chemical.received"": ""R22C17"", ""mud_chemical.on_hand"": ""R22C19"", ""mud_chemical.unit"": ""R22C20""}, ""table"": ""bulk_materials"", ""cell"": ""R22C14; R22C16; R22C17; R22C19; R22C20""}",mud_chemical.type,"""Oyster Shell (F)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Oyster Shell (F)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}","Fine oyster shell is a sized bridging/loss-control material, unsupported by current catalogue.",Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
50,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 23, ""cells"": {""mud_chemical.product_type"": ""R23C14"", ""mud_chemical.used"": ""R23C16"", ""mud_chemical.received"": ""R23C17"", ""mud_chemical.on_hand"": ""R23C19"", ""mud_chemical.unit"": ""R23C20""}, ""table"": ""bulk_materials"", ""cell"": ""R23C14; R23C16; R23C17; R23C19; R23C20""}",mud_chemical.type,"""Limestone chips(M)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Limestone chips(M)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}","Medium limestone chips are sized bridging/loss-control material, not proof of Weight Material role.",Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
51,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 24, ""cells"": {""mud_chemical.product_type"": ""R24C14"", ""mud_chemical.used"": ""R24C16"", ""mud_chemical.received"": ""R24C17"", ""mud_chemical.on_hand"": ""R24C19"", ""mud_chemical.unit"": ""R24C20""}, ""table"": ""bulk_materials"", ""cell"": ""R24C14; R24C16; R24C17; R24C19; R24C20""}",mud_chemical.type,"""Limestone chips(C)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Limestone chips(C)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}","Coarse limestone chips are sized bridging/loss-control material, not proof of Weight Material role.",Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
52,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 25, ""cells"": {""mud_chemical.product_type"": ""R25C14"", ""mud_chemical.used"": ""R25C16"", ""mud_chemical.received"": ""R25C17"", ""mud_chemical.on_hand"": ""R25C19"", ""mud_chemical.unit"": ""R25C20""}, ""table"": ""bulk_materials"", ""cell"": ""R25C14; R25C16; R25C17; R25C19; R25C20""}",mud_chemical.type,"""Limestone chips(F)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Limestone chips(F)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}","Fine limestone chips are sized bridging/loss-control material, not proof of Weight Material role.",Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
53,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 26, ""cells"": {""mud_chemical.product_type"": ""R26C14"", ""mud_chemical.used"": ""R26C16"", ""mud_chemical.received"": ""R26C17"", ""mud_chemical.on_hand"": ""R26C19"", ""mud_chemical.unit"": ""R26C20""}, ""table"": ""bulk_materials"", ""cell"": ""R26C14; R26C16; R26C17; R26C19; R26C20""}",mud_chemical.type,"""Mica (F)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Mica (F)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}",Fine mica is a flaky loss-control product; current catalogue lacks that role.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
54,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 27, ""cells"": {""mud_chemical.product_type"": ""R27C14"", ""mud_chemical.used"": ""R27C16"", ""mud_chemical.received"": ""R27C17"", ""mud_chemical.on_hand"": ""R27C19"", ""mud_chemical.unit"": ""R27C20""}, ""table"": ""bulk_materials"", ""cell"": ""R27C14; R27C16; R27C17; R27C19; R27C20""}",mud_chemical.type,"""Mica (M)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Mica (M)"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}",Medium mica is a flaky loss-control product; current catalogue lacks that role.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
55,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 28, ""cells"": {""mud_chemical.product_type"": ""R28C14"", ""mud_chemical.used"": ""R28C16"", ""mud_chemical.received"": ""R28C17"", ""mud_chemical.on_hand"": ""R28C19"", ""mud_chemical.unit"": ""R28C20""}, ""table"": ""bulk_materials"", ""cell"": ""R28C14; R28C16; R28C17; R28C19; R28C20""}",mud_chemical.type,"""Mica (C)""",null,MudReport.chemicals_json[].type,"{""imported"": ""Mica (C)"", ""type"": null, ""source_stock"": 80.0, ""imported_stock"": 80.0, ""unit"": ""25 KG/SX""}",Coarse mica is a flaky loss-control product; current catalogue lacks that role.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
56,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 30, ""cells"": {""mud_chemical.product_type"": ""R30C14"", ""mud_chemical.used"": ""R30C16"", ""mud_chemical.received"": ""R30C17"", ""mud_chemical.on_hand"": ""R30C19"", ""mud_chemical.unit"": ""R30C20""}, ""table"": ""bulk_materials"", ""cell"": ""R30C14; R30C16; R30C17; R30C19; R30C20""}",mud_chemical.type,"""Anti-Foam""",null,MudReport.chemicals_json[].type,"{""imported"": ""Anti-Foam"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""55 GAL/DM""}",Anti-Foam explicitly describes defoaming; no defoamer category exists in the authoritative catalogue.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
57,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 31, ""cells"": {""mud_chemical.product_type"": ""R31C14"", ""mud_chemical.used"": ""R31C16"", ""mud_chemical.received"": ""R31C17"", ""mud_chemical.on_hand"": ""R31C19"", ""mud_chemical.unit"": ""R31C20""}, ""table"": ""bulk_materials"", ""cell"": ""R31C14; R31C16; R31C17; R31C19; R31C20""}",mud_chemical.type,"""H2S Scavenger""",null,MudReport.chemicals_json[].type,"{""imported"": ""H2S Scavenger"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""55 GAL/DM""}",H2S Scavenger describes sulfide scavenging; no scavenger category exists.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
58,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 32, ""cells"": {""mud_chemical.product_type"": ""R32C14"", ""mud_chemical.used"": ""R32C16"", ""mud_chemical.received"": ""R32C17"", ""mud_chemical.on_hand"": ""R32C19"", ""mud_chemical.unit"": ""R32C20""}, ""table"": ""bulk_materials"", ""cell"": ""R32C14; R32C16; R32C17; R32C19; R32C20""}",mud_chemical.type,"""Citric Acid""",null,MudReport.chemicals_json[].type,"{""imported"": ""Citric Acid"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""25 KG/SX""}",Citric acid must not be labeled Alkalinity (alkali additives); acidification/chelating use is unsupported and formulation dependent.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
59,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 33, ""cells"": {""mud_chemical.product_type"": ""R33C14"", ""mud_chemical.used"": ""R33C16"", ""mud_chemical.received"": ""R33C17"", ""mud_chemical.on_hand"": ""R33C19"", ""mud_chemical.unit"": ""R33C20""}, ""table"": ""bulk_materials"", ""cell"": ""R33C14; R33C16; R33C17; R33C19; R33C20""}",mud_chemical.type,"""Biocide""",null,MudReport.chemicals_json[].type,"{""imported"": ""Biocide"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""55 GAL/DM""}",Biocide describes microbial control; no biocide category exists.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
60,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 35, ""cells"": {""mud_chemical.product_type"": ""R35C14"", ""mud_chemical.used"": ""R35C16"", ""mud_chemical.received"": ""R35C17"", ""mud_chemical.on_hand"": ""R35C19"", ""mud_chemical.unit"": ""R35C20""}, ""table"": ""bulk_materials"", ""cell"": ""R35C14; R35C16; R35C17; R35C19; R35C20""}",mud_chemical.type,"""Corrosion Inhibitor""",null,MudReport.chemicals_json[].type,"{""imported"": ""Corrosion Inhibitor"", ""type"": null, ""source_stock"": null, ""imported_stock"": null, ""unit"": ""55 GAL/DM""}",Corrosion Inhibitor is not Shale Inhibitor; corrosion-control category is absent.,Identity/grade retained; current catalogue does not support the described role,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
